Jsc,Voc,FF,Efficiency,Sr,Sp,Temp,Class
5.34,0.33,56.20,0.98,11.51,1001.14,185,3
5.19,0.32,55.84,0.94,11.92,979.46,185,3
5.19,0.32,55.58,0.92,11.94,936.91,185,3
6.17,0.33,55.02,1.13,10.63,743.71,185,3
5.77,0.33,55.21,1.05,11.18,838.30,185,3
5.63,0.33,55.23,1.01,11.41,854.42,185,3
5.60,0.32,54.40,0.99,11.92,790.03,185,3
5.11,0.33,55.15,0.92,14.01,1067.45,340,3
5.06,0.33,56.42,0.94,12.90,1125.09,340,3
5.15,0.33,56.07,0.95,13.01,1085.77,340,3
5.36,0.33,56.41,1.00,12.31,1097.49,340,3
5.07,0.33,55.53,0.93,13.56,1085.09,340,3
5.06,0.33,55.83,0.93,13.07,1108.20,340,3
5.13,0.33,55.77,0.94,12.72,1035.56,340,3
5.32,0.32,55.23,0.96,12.54,941.68,340,3
5.38,0.33,50.44,0.89,15.71,367.92,475,3
5.23,0.33,50.89,0.88,13.92,285.64,475,3
5.25,0.34,52.18,0.92,13.35,316.85,475,3
5.31,0.34,52.89,0.96,12.93,342.59,475,3
5.51,0.32,53.06,0.94,13.60,585.65,475,3
5.36,0.33,53.27,0.94,12.85,430.96,475,3
5.41,0.34,52.74,0.96,12.71,334.44,475,3
5.45,0.34,54.70,1.02,12.46,552.15,475,3

