Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class
6.86,0.35,47.9,1.15,18.79,567.39,40,600,8
13.17,0.44,60.87,3.54,6.69,1762.5,40,600,3
10.49,0.55,78.89,4.54,2.98,22919.14,107,600,7
10.85,0.28,42.83,1.29,8.81,91.59,40,450,3
13.59,0.48,60.14,3.95,6.29,4001.04,40,550,2
13.04,0.43,57.38,3.21,7.49,1372.89,40,600,3
11.67,0.56,75.99,4.92,3.95,30102.4,40,600,7
14.36,0.57,78.34,6.41,2.72,104744.9,40,600,1
11.61,0.56,76.39,4.94,3.81,37667.42,40,600,7
12.11,0.55,77.16,5.15,3.78,15317.47,475,600,7
16.47,0.35,25.4,1.48,20.2,1.83,40,450,1
6.86,0.27,32.87,0.61,20.27,43.58,40,500,4
14.02,0.53,76.12,5.7,3.76,18075.18,40,700,2
11.35,0.4,59.15,2.67,6.33,2191.22,40,600,2
5.13,0.33,55.77,0.94,12.72,1035.56,340,600,8
10.85,0.28,41.53,1.27,9.71,77.61,40,450,3
4.63,0.11,32.9,0.16,13.33,21.44,40,500,4
7.36,0.35,51.52,1.34,13.22,648.74,40,600,8
4.85,0.31,52.42,0.79,17.6,563.26,40,500,4
12.04,0.47,60.58,3.43,10.05,2590.3,40,700,3
7.52,0.34,49.59,1.27,14.48,555.77,40,600,8
14.78,0.52,69.0,5.25,3.69,60393.21,40,550,1
13.4,0.48,64.94,4.16,6.24,3183.02,40,650,3
13.68,0.55,76.84,5.76,3.95,36090.37,40,600,2
5.12,0.33,54.63,0.92,12.82,852.5,107,600,8
9.35,0.54,78.09,3.95,3.49,21709.09,107,600,6
13.56,0.48,53.46,3.48,5.34,190.03,40,500,1
10.5,0.4,56.55,2.39,10.51,719.17,40,550,3
7.32,0.34,50.22,1.24,13.73,562.39,40,600,8
12.42,0.49,68.25,4.18,11.78,3185.22,40,500,2
10.51,0.44,61.34,2.86,10.02,1247.46,40,600,4
10.21,0.55,76.12,4.3,3.52,27273.39,40,600,6
11.6,0.55,74.08,4.76,5.12,33046.35,40,600,7
13.47,0.48,64.84,4.18,6.2,2983.74,40,650,3
11.02,0.52,76.52,4.39,3.39,6969.22,340,600,7
5.32,0.32,55.23,0.96,12.54,941.68,340,600,8
12.39,0.56,77.01,5.38,3.6,23966.02,475,600,7
5.43,0.21,34.01,0.39,22.5,52.7,40,550,5
8.74,0.38,57.71,1.9,9.25,650.02,40,500,3
11.77,0.46,59.72,3.25,10.1,2448.28,40,700,3
11.76,0.47,57.51,3.19,15.77,3224.08,40,700,4
7.02,0.34,48.45,1.16,16.0,514.67,40,600,8
9.92,0.49,72.58,3.53,3.81,8385.29,107,600,7
4.85,0.32,54.09,0.84,13.62,847.21,107,600,8
5.02,0.22,38.89,0.44,21.85,146.05,40,600,5
14.18,0.45,63.69,4.08,5.29,4327.76,40,550,1
12.13,0.47,60.41,3.47,10.66,3085.31,40,700,3
9.47,0.56,79.06,4.2,3.37,31703.57,107,600,6
14.52,0.45,59.65,3.87,6.47,9716.24,40,450,1
5.87,0.22,39.82,0.52,18.63,149.96,40,500,5
7.31,0.4,66.19,1.95,5.95,2231.49,107,600,7
5.06,0.33,56.42,0.94,12.9,1125.09,340,600,8
10.62,0.25,39.18,1.04,9.41,57.29,40,450,3
6.07,0.16,26.69,0.26,23.1,7.02,40,450,2
1.02,0.07,24.48,0.02,67.47,-2.97,40,450,4
11.4,0.25,38.53,1.09,8.92,45.23,40,450,3
10.44,0.45,59.88,2.81,10.18,1911.77,40,700,3
10.84,0.45,60.16,2.93,11.73,1235.25,40,600,4
10.26,0.55,75.59,4.28,3.59,27900.01,40,600,6
13.82,0.48,64.18,4.3,6.67,3312.75,40,650,3
11.75,0.48,66.3,3.7,6.28,2980.76,40,650,4
1.1,0.07,24.13,0.02,66.23,-3.96,40,450,4
7.34,0.33,49.67,1.22,13.47,497.65,40,600,8
10.02,0.52,76.91,4.03,3.28,8737.68,340,600,6
8.5,0.37,57.64,1.84,9.43,643.58,40,500,3
12.31,0.49,68.99,4.15,6.08,4229.91,40,650,4
