Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
5.36,331.94,56.41,1.0,12.31,1097.49,340,600,61.93,0.0514,5
7.36,352.07,51.52,1.34,13.22,648.74,40,600,47.84,0.0794,5
5.0,312.75,53.58,0.84,16.13,575.41,40,500,62.55,0.0931,4
7.73,332.15,58.19,1.49,7.74,980.31,475,600,42.97,0.0594,1
0.86,65.31,24.98,0.01,75.17,0.63,40,450,75.94,39.6508,4
0.63,6.32,0.0,0.0,10.07,-0.05,40,450,10.03,-0.0,4
14.81,555.82,73.05,6.01,3.5,14950.86,40,650,37.53,0.0049,1
5.95,221.02,39.82,0.52,18.26,146.3,40,500,37.15,0.2722,5
6.16,219.8,38.31,0.52,18.64,121.52,40,500,35.68,0.3153,5
13.88,543.27,53.88,4.06,26.62,4195.96,40,600,39.14,0.0128,1
6.07,109.66,28.85,0.19,13.16,8.59,40,450,18.07,3.3586,4
11.65,463.28,61.24,3.31,9.12,2454.54,40,700,39.77,0.0249,3
11.09,521.83,76.74,4.44,3.3,7182.42,340,600,47.05,0.0107,1
4.35,320.41,54.93,0.76,14.41,994.53,107,600,73.66,0.0552,5
10.75,399.99,51.74,2.23,13.65,533.54,40,550,37.21,0.097,3
14.2,447.16,66.78,4.24,3.63,4131.67,40,550,31.49,0.0162,1
6.33,213.29,36.36,0.49,18.84,87.22,40,500,33.7,0.4169,5
4.85,322.23,54.09,0.84,13.62,847.21,107,600,66.44,0.0638,5
12.54,431.53,58.07,3.14,5.03,858.65,40,500,34.41,0.0676,1
14.72,562.93,76.48,6.34,3.22,31409.97,40,700,38.24,0.0024,2
14.54,563.76,76.07,6.23,3.03,31612.66,40,500,38.77,0.0024,1
9.13,435.18,55.18,2.19,17.32,831.57,40,700,47.66,0.0664,4
12.06,484.47,68.53,4.0,6.22,4056.18,40,650,40.17,0.0169,4
9.05,441.85,68.41,2.73,4.79,4149.03,107,600,48.82,0.0165,1
13.74,513.99,73.55,5.2,3.82,8118.63,40,550,37.41,0.0091,2
5.45,343.8,54.7,1.02,12.46,552.15,475,600,63.08,0.0991,5
10.31,402.98,53.59,2.23,13.22,714.49,40,550,39.09,0.075,3
6.04,219.97,39.08,0.52,18.35,133.47,40,500,36.42,0.2928,5
5.42,24.52,24.95,0.03,4.31,-0.04,40,500,4.52,-623.75,4
6.04,189.8,28.34,0.33,24.92,17.79,40,450,31.42,1.593,2
5.15,329.67,56.07,0.95,13.01,1085.77,340,600,64.01,0.0516,5
5.97,411.4,54.04,1.33,12.11,525.57,40,450,68.91,0.1028,2
