Jsc,Voc,FF,Efficiency,Rs,Rp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
14.81,553.06,74.65,6.12,3.6,16942.57,40,650,37.34,4706.2694,1
13.09,380.24,26.64,1.33,24.77,7.36,40,700,29.05,0.2971,1
13.16,203.46,39.07,1.05,7.61,43.01,40,700,15.46,5.6518,1
12.03,513.05,71.29,4.4,3.5,4335.99,40,700,42.65,1238.8543,1
11.44,510.84,75.68,4.42,3.46,5765.54,40,700,44.65,1666.341,1
14.14,550.1,71.02,5.52,5.1,14534.73,40,450,38.9,2849.9471,5
13.67,523.32,76.35,5.46,3.28,9004.15,40,450,38.28,2745.1677,5
14.02,534.32,76.12,5.7,3.76,18075.18,40,450,38.11,4807.2287,5
14.33,544.56,75.79,5.91,4.09,77860.21,40,450,38.0,19036.7262,5
13.13,518.54,71.92,4.9,5.28,7083.52,40,450,39.49,1341.5758,5
6.16,219.8,38.31,0.52,18.64,121.52,40,500,35.68,6.5193,5
6.04,219.97,39.08,0.52,18.35,133.47,40,500,36.42,7.2736,5
5.95,221.02,39.82,0.52,18.26,146.3,40,500,37.15,8.012,5
5.87,222.2,39.82,0.52,18.63,149.96,40,500,37.85,8.0494,5
6.33,213.29,36.36,0.49,18.84,87.22,40,500,33.7,4.6295,5
6.46,211.67,35.35,0.48,19.44,74.16,40,500,32.77,3.8148,5
6.29,215.35,36.25,0.49,19.43,87.58,40,500,34.24,4.5075,5
5.1,215.77,33.13,0.36,27.08,59.71,40,500,42.31,2.2049,5
5.61,213.11,41.14,0.49,17.2,165.88,40,550,37.99,9.6442,5
5.56,207.6,40.83,0.47,21.23,126.2,40,550,37.34,5.9444,5
5.61,214.45,43.29,0.52,15.54,201.9,40,550,38.23,12.9923,5
5.62,215.46,43.44,0.53,15.41,204.0,40,550,38.34,13.2382,5
5.43,209.31,34.01,0.39,22.5,52.7,40,550,38.55,2.3422,5
4.94,231.12,44.47,0.51,18.15,277.65,40,600,46.79,15.2975,5
5.02,223.71,38.89,0.44,21.85,146.05,40,600,44.56,6.6842,5
5.1,223.73,38.79,0.44,21.46,131.41,40,600,43.87,6.1235,5
4.73,225.59,36.43,0.39,25.54,101.81,40,600,47.69,3.9863,5
11.64,552.07,75.67,4.86,3.66,22792.24,40,600,47.43,6227.388,1
11.6,551.96,74.5,4.77,4.46,17311.36,40,600,47.58,3881.4709,1
11.67,555.38,75.99,4.92,3.95,30102.4,40,600,47.59,7620.8608,1
11.63,554.27,75.84,4.89,4.09,34005.0,40,600,47.66,8314.1809,1
11.6,554.45,74.08,4.76,5.12,33046.35,40,600,47.8,6454.3652,1
11.55,555.09,29.84,1.91,73.7,595.65,40,600,48.06,8.0821,1
11.6,557.44,75.59,4.89,4.23,48797.9,40,600,48.06,11536.1466,1
11.61,556.69,76.39,4.94,3.81,37667.42,40,600,47.95,9886.4619,1
7.31,402.84,66.19,1.95,5.95,2231.49,107,600,55.11,375.0403,1
8.19,423.39,67.52,2.34,5.26,3052.5,107,600,51.7,580.3232,1
9.05,441.85,68.41,2.73,4.79,4149.03,107,600,48.82,866.1858,1
9.07,438.94,67.79,2.7,4.9,3801.57,107,600,48.39,775.8306,1
10.22,512.65,74.79,3.92,3.53,10546.44,107,600,50.16,2987.6601,1
10.49,548.2,78.89,4.54,2.98,22919.14,107,600,52.26,7690.9866,1
10.5,555.82,79.57,4.64,2.87,29905.85,107,600,52.94,10420.1568,1
9.92,490.43,72.58,3.53,3.81,8385.29,107,600,49.44,2200.8635,1
10.6,537.58,77.79,4.43,3.35,17736.13,185,600,50.72,5294.3672,1
10.07,493.03,74.0,3.67,3.84,5921.52,185,600,48.96,1542.0625,1
10.3,496.54,73.48,3.76,3.92,7127.89,185,600,48.21,1818.3393,1
10.34,493.11,70.02,3.57,4.54,6963.98,185,600,47.69,1533.9163,1
10.69,551.02,78.52,4.63,3.28,30280.68,185,600,51.55,9231.9146,1
10.81,565.28,78.25,4.78,3.3,43398.99,185,600,52.29,13151.2091,1
10.8,564.82,78.52,4.79,3.36,40954.09,185,600,52.3,12188.7173,1
10.07,464.33,67.79,3.17,5.13,6767.73,185,600,46.11,1319.2456,1
11.0,516.98,77.07,4.38,2.94,6082.77,340,600,47.0,2068.9694,1
11.14,522.52,76.8,4.47,3.25,7361.78,340,600,46.9,2265.1631,1
11.02,521.23,76.52,4.39,3.39,6969.22,340,600,47.3,2055.8171,1
10.94,514.7,75.3,4.24,3.5,6071.5,340,600,47.05,1734.7143,1
11.17,519.59,77.06,4.47,2.87,6445.34,340,600,46.52,2245.7631,1
11.22,524.69,76.83,4.52,3.28,7688.64,340,600,46.76,2344.0976,1
11.3,528.19,76.88,4.59,3.22,8717.94,340,600,46.74,2707.4348,1
11.09,521.83,76.74,4.44,3.3,7182.42,340,600,47.05,2176.4909,1
11.27,528.36,75.72,4.51,3.93,7624.36,475,600,46.88,1940.0407,1
