Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class,Voc_Jsc_Ratio,Rp_Ps_Ratio
14.78,515.16,69.0,5.25,3.69,60393.21,40,550,1,34.86,0.0011
14.61,488.79,67.92,4.85,3.9,21310.39,40,550,1,33.46,0.0032
14.09,383.25,48.39,2.61,6.84,140.98,40,550,1,27.2,0.3432
14.42,457.19,67.46,4.45,3.52,5925.49,40,550,1,31.71,0.0114
14.2,447.16,66.78,4.24,3.63,4131.67,40,550,1,31.49,0.0162
14.18,452.03,63.69,4.08,5.29,4327.76,40,550,1,31.88,0.0147
14.36,569.61,78.34,6.41,2.72,104744.9,40,600,1,39.67,0.0007
14.35,554.09,74.61,5.93,2.96,17739.8,40,600,1,38.61,0.0042
14.32,553.51,75.76,6.0,2.87,17605.99,40,600,1,38.65,0.0043
13.78,522.39,69.1,4.97,3.02,1758.23,40,600,1,37.91,0.0393
14.49,574.71,78.71,6.55,2.52,42574.2,40,600,1,39.66,0.0018
14.33,571.65,78.61,6.44,2.71,17067.44,40,600,1,39.89,0.0046
14.3,569.04,78.58,6.4,2.64,66796.54,40,600,1,39.79,0.0012
13.88,543.27,53.88,4.06,26.62,4195.96,40,600,1,39.14,0.0128
14.89,384.93,55.77,3.2,6.28,2922.32,40,650,1,25.85,0.0191
14.97,565.69,70.96,6.01,4.57,60764.11,40,650,1,37.79,0.0012
14.99,568.12,72.9,6.21,3.95,28829.6,40,650,1,37.9,0.0025
14.98,547.17,65.97,5.41,4.81,8152.23,40,650,1,36.53,0.0081
14.81,555.82,73.05,6.01,3.5,14950.86,40,650,1,37.53,0.0049
14.92,553.6,70.26,5.8,4.14,15938.88,40,650,1,37.1,0.0044
14.89,568.37,73.72,6.24,5.44,635832.7,40,650,1,38.17,0.0001
14.81,553.06,74.65,6.12,3.6,16942.57,40,650,1,37.34,0.0044
13.09,380.24,26.64,1.33,24.77,7.36,40,700,1,29.05,3.6196
13.16,203.46,39.07,1.05,7.61,43.01,40,700,1,15.46,0.9084
12.03,513.05,71.29,4.4,3.5,4335.99,40,700,1,42.65,0.0164
11.44,510.84,75.68,4.42,3.46,5765.54,40,700,1,44.65,0.0131
14.14,550.1,71.02,5.52,5.1,14534.73,40,450,5,38.9,0.0049
13.67,523.32,76.35,5.46,3.28,9004.15,40,450,5,38.28,0.0085
14.02,534.32,76.12,5.7,3.76,18075.18,40,450,5,38.11,0.0042
14.33,544.56,75.79,5.91,4.09,77860.21,40,450,5,38.0,0.001
13.13,518.54,71.92,4.9,5.28,7083.52,40,450,5,39.49,0.0102
6.16,219.8,38.31,0.52,18.64,121.52,40,500,5,35.68,0.3153
6.04,219.97,39.08,0.52,18.35,133.47,40,500,5,36.42,0.2928
5.95,221.02,39.82,0.52,18.26,146.3,40,500,5,37.15,0.2722
5.87,222.2,39.82,0.52,18.63,149.96,40,500,5,37.85,0.2655
6.33,213.29,36.36,0.49,18.84,87.22,40,500,5,33.7,0.4169
6.46,211.67,35.35,0.48,19.44,74.16,40,500,5,32.77,0.4767
6.29,215.35,36.25,0.49,19.43,87.58,40,500,5,34.24,0.4139
5.1,215.77,33.13,0.36,27.08,59.71,40,500,5,42.31,0.5548
5.61,213.11,41.14,0.49,17.2,165.88,40,550,5,37.99,0.248
5.56,207.6,40.83,0.47,21.23,126.2,40,550,5,37.34,0.3235
5.61,214.45,43.29,0.52,15.54,201.9,40,550,5,38.23,0.2144
5.62,215.46,43.44,0.53,15.41,204.0,40,550,5,38.34,0.2129
5.43,209.31,34.01,0.39,22.5,52.7,40,550,5,38.55,0.6454
4.94,231.12,44.47,0.51,18.15,277.65,40,600,5,46.79,0.1602
5.02,223.71,38.89,0.44,21.85,146.05,40,600,5,44.56,0.2663
5.1,223.73,38.79,0.44,21.46,131.41,40,600,5,43.87,0.2952
4.73,225.59,36.43,0.39,25.54,101.81,40,600,5,47.69,0.3578
11.64,552.07,75.67,4.86,3.66,22792.24,40,600,1,47.43,0.0033
