Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
10.37,0.27,48.98,1.39,6.25,180.68,40,450,26.04,0.2711,3
14.97,0.57,70.96,6.01,4.57,60764.11,40,650,38.08,0.0012,1
5.62,0.22,43.44,0.53,15.41,204.0,40,550,39.15,0.2129,5
5.7,0.33,55.28,1.04,11.23,849.77,185,600,57.89,0.0651,5
12.42,0.49,68.25,4.18,11.78,3185.22,40,500,39.45,0.0214,2
11.75,0.48,66.3,3.7,6.28,2980.76,40,650,40.85,0.0222,4
11.29,0.46,57.13,2.97,16.58,1462.58,40,600,40.74,0.0391,4
10.23,0.28,49.6,1.43,8.54,552.07,40,600,27.37,0.0898,2
1.1,0.07,24.13,0.02,66.23,3.96,40,450,63.64,6.0934,4
12.41,0.49,67.64,4.13,6.1,2272.78,40,650,39.48,0.0298,4
10.85,0.28,41.53,1.27,9.71,77.61,40,450,25.81,0.5351,3
8.5,0.37,57.64,1.84,9.43,643.58,40,500,43.53,0.0896,3
6.22,0.14,31.08,0.27,14.51,18.55,40,450,22.51,1.6755,4
12.31,0.49,68.99,4.15,6.08,4229.91,40,650,39.81,0.0163,4
14.75,0.57,74.29,6.2,4.17,12532.03,40,700,38.64,0.0059,2
8.41,0.37,57.94,1.79,8.48,542.26,40,500,44.0,0.1068,3
14.49,0.57,78.71,6.55,2.52,42574.2,40,600,39.34,0.0018,1
5.33,0.35,59.25,1.11,10.77,796.96,40,550,65.67,0.0743,4
5.25,0.34,52.18,0.92,13.35,316.85,475,600,64.76,0.1647,5
13.67,0.52,76.35,5.46,3.28,9004.15,40,700,38.04,0.0085,2
5.06,0.33,56.42,0.94,12.9,1125.09,340,600,65.22,0.0501,5
11.0,0.52,77.07,4.38,2.94,6082.77,340,600,47.27,0.0127,1
5.36,0.33,56.41,1.0,12.31,1097.49,340,600,61.57,0.0514,5
7.36,0.35,51.52,1.34,13.22,648.74,40,600,47.55,0.0794,5
5.0,0.31,53.58,0.84,16.13,575.41,40,500,62.0,0.0931,4
7.73,0.33,58.19,1.49,7.74,980.31,475,600,42.69,0.0594,1
0.86,0.07,24.98,0.01,75.17,0.63,40,450,81.4,39.6508,4
